key,locale,package,origin_text,text
story::phrase.text,en,metafox/story,Text,Text
story::phrase.the_activated_collection_cannot_be_deleted,en,metafox/story,The activated collection cannot be deleted.,The activated collection cannot be deleted.
story::seo.browse_service,en,metafox/story,Services,Services
story::seo.ffmpeg_setting,en,metafox/story,FFMPEG,FFMPEG
story::seo.story_background_set_browse_title,en,metafox/story,Manage Collection,Manage Collection
story::seo.story_background_set_create_title,en,metafox/story,Add New Collection,Add New Collection
story::seo.story_background_set_edit_title,en,metafox/story,Edit Collection,Edit Collection
story::seo.story_create_title,en,metafox/story,New Story,New Story
story::seo.story_landing_title,en,metafox/story,Stories,Stories
story::seo.user_profile_story_archive_description,en,metafox/story,,
story::seo.user_profile_story_archive_heading,en,metafox/story,,
story::seo.user_profile_story_archive_keywords,en,metafox/story,,
story::seo.user_profile_story_archive_title,en,metafox/story,{full_name},{full_name}
story::validation.background_collection_already_deleted,en,metafox/story,Background collection has been already deleted.,Background collection has been already deleted.
story::validation.there_must_be_at_least_one_wallpaper_set_activated,en,metafox/story,There must be at least one wallpaper set activated.,There must be at least one wallpaper set activated.
story::web.all_stories,en,metafox/story,All Stories,All Stories
story::web.archive,en,metafox/story,Archive,Archive
story::web.are_you_sure_you_want_to_save_this_video,en,metafox/story,Are you sure you want to save this video?,Are you sure you want to save this video?
story::web.background,en,metafox/story,Background,Background
story::web.click_to_view_story,en,metafox/story,Click to view story,Click to view story
story::web.color,en,metafox/story,Color,Color
story::web.continue_story,en,metafox/story,Continue the Story,Continue the Story
story::web.create_a_photo_story,en,metafox/story,Create a Photo Story,Create a Photo Story
story::web.create_a_text_story,en,metafox/story,Create a Text Story,Create a Text Story
story::web.create_story,en,metafox/story,Create Story,Create Story
story::web.create_story_description,en,metafox/story,Your friends want to hear from you. Share a recent moment to take them behind the scenes.,Your friends want to hear from you. Share a recent moment to take them behind the scenes.
story::web.description_no_comment_story,en,metafox/story,"As people view your story, you'll see details here.","As people view your story, you'll see details here."
story::web.description_no_viewer_story,en,metafox/story,"As people view your story, you'll see details here.","As people view your story, you'll see details here."
story::web.discard_story_alert,en,metafox/story,Discard this story?,Discard this story?
story::web.edit_video,en,metafox/story,Edit video,Edit video
story::web.font_style,en,metafox/story,Font style,Font style
story::web.lifespan,en,metafox/story,Lifespan,Lifespan
story::web.my_story,en,metafox/story,My Story,My Story
story::web.no_stories_found,en,metafox/story,No stories are found.,No stories are found.
story::web.select_photo_tp_crop_and_rotate,en,metafox/story,Select photo to crop and rotate,Select photo to crop and rotate
story::web.sent_reation_to_user,en,metafox/story,Sent to {name},Sent to {name}
story::web.share_photo_or_write_something,en,metafox/story,Share a photo or write something.,Share a photo or write something.
story::web.start_typing_here,en,metafox/story,Start typing here,Start typing here
story::web.stories,en,metafox/story,Stories,Stories
story::web.story_archive,en,metafox/story,Story archive,Story archive
story::web.story_details,en,metafox/story,Story details,Story details
story::web.story_viewers,en,metafox/story,Story viewers,Story viewers
story::web.text_size,en,metafox/story,Text size,Text size
story::web.total_new_story,en,metafox/story,"{total, plural, =0{} =1{# new story} other {# new stories}}","{total, plural, =0{} =1{# new story} other {# new stories}}"
story::web.total_story_viewer,en,metafox/story,"{value, plural, =0{No viewers yet} =1{# viewer} other{# viewers} }","{value, plural, =0{No viewers yet} =1{# viewer} other{# viewers} }"
story::web.trimming_video,en,metafox/story,Trimming video,Trimming video
story::web.uploaded_failed,en,metafox/story,Uploaded failed,Uploaded failed
story::web.viewers,en,metafox/story,Viewers,Viewers
story::web.view_story,en,metafox/story,View Story,View Story
story::web.view_your_stories,en,metafox/story,View Your Stories,View Your Stories
story::web.you_can_not_upload_videos_longer_than,en,metafox/story,You can't upload videos longer than {value} seconds,You can't upload videos longer than {value} seconds
story::web.your_story_archive,en,metafox/story,Your story archive,Your story archive
story::web.you_will_discard_story,en,metafox/story,You will discard story.,You will discard story.
subscription::admin.acquired_membership,en,metafox/subscription,Acquired Membership,Acquired Membership
subscription::admin.activate_subscription,en,metafox/subscription,Activate Subscription,Activate Subscription
subscription::admin.activation_date,en,metafox/subscription,Activation Date,Activation Date
subscription::admin.active_users,en,metafox/subscription,Active Users,Active Users
subscription::admin.add_some_content_to_the_package,en,metafox/subscription,Add some content to the package,Add some content to the package
subscription::admin.allow_on_registration,en,metafox/subscription,Enable on Registration?,Enable on Registration?
subscription::admin.allow_renew_types,en,metafox/subscription,Allow Renew Types,Allow Renew Types
subscription::admin.allow_users_to_purchase_the_package_when_registering_new_account,en,metafox/subscription,Enable to allow users to purchase the package when registering new accounts.,Enable to allow users to purchase the package when registering new accounts.
subscription::admin.all_time,en,metafox/subscription,All Time,All Time
subscription::admin.amount_you_want_to_charge_people,en,metafox/subscription,"Specify amount you want to charge people to join this package. Enable ""Free Package"" if you want this to be free.","Specify amount you want to charge people to join this package. Enable ""Free Package"" if you want this to be free."
subscription::admin.amount_you_want_to_charge_people_to_renew_this_package,en,metafox/subscription,Specify amount you want to charge people to renew this package. The amount must be greater than 0.,Specify amount you want to charge people to renew this package. The amount must be greater than 0.
subscription::admin.annual,en,metafox/subscription,Annual,Annual
subscription::admin.annually,en,metafox/subscription,Annually,Annually
subscription::admin.are_you_sure_you_want_to_activate_this_subscription,en,metafox/subscription,Are you sure you want to activate this subscription?,Are you sure you want to activate this subscription?
subscription::admin.are_you_sure_you_want_to_cancel_this_subscription,en,metafox/subscription,Are you sure you want to cancel this subscription?,Are you sure you want to cancel this subscription?
subscription::admin.are_you_sure_you_want_to_delete_this_comparison_feature_permanently,en,metafox/subscription,Are you sure you want to delete this comparison feature permanently?,Are you sure you want to delete this comparison feature permanently?
subscription::admin.are_you_sure_you_want_to_delete_this_package_permanently,en,metafox/subscription,Are you sure you want to delete this package permanently?,Are you sure you want to delete this package permanently?
subscription::admin.are_you_sure_you_want_to_delete_this_reason_permanently,en,metafox/subscription,Are you sure you want to delete this reason permanently?,Are you sure you want to delete this reason permanently?
subscription::admin.auto_renew,en,metafox/subscription,Automatically Renew,Automatically Renew
subscription::admin.background_color,en,metafox/subscription,Background Color,Background Color
subscription::admin.biannual,en,metafox/subscription,Biannual,Biannual
subscription::admin.biannually,en,metafox/subscription,Biannually,Biannually
subscription::admin.cancelled,en,metafox/subscription,Canceled,Canceled
subscription::admin.cancelled_on,en,metafox/subscription,Canceled on,Canceled on
subscription::admin.cancelled_or_expired_subscriptions_will_be_downgraded_by_this_setting,en,metafox/subscription,Specify the package that users will be downgraded to when the current subscription expires or is canceled.,Specify the package that users will be downgraded to when the current subscription expires or is canceled.
subscription::admin.cancelled_or_expired_subscriptions_will_be_downgraded_by_this_setting_if_the_package_has_not_configured_downgraded_package,en,metafox/subscription,This setting will downgrade the Canceled or Expired Subscriptions if the Package has not been configured as the Downgraded Package.,This setting will downgrade the Canceled or Expired Subscriptions if the Package has not been configured as the Downgraded Package.
subscription::admin.cancel_reason_of_subscription,en,metafox/subscription,Cancel Reason for Subscription,Cancel Reason for Subscription
subscription::admin.cancel_subscription,en,metafox/subscription,Cancel Subscription,Cancel Subscription
subscription::admin.can_not_activate_this_subscription,en,metafox/subscription,Can not activate this subscription.,Can not activate this subscription.
subscription::admin.can_not_cancel_this_subscription,en,metafox/subscription,Can not cancel this subscription.,Can not cancel this subscription.
subscription::admin.comparison,en,metafox/subscription,Comparison,Comparison
subscription::admin.comparison_feature_successfully_created,en,metafox/subscription,Comparison feature was created successfully.,Comparison feature was created successfully.
subscription::admin.comparison_feature_successfully_updated,en,metafox/subscription,Comparison feature was updated successfully.,Comparison feature was updated successfully.
subscription::admin.comparison_successfully_deleted,en,metafox/subscription,Comparison was deleted successfully.,Comparison was deleted successfully.
subscription::admin.create_comparison_feature,en,metafox/subscription,Create Comparison Feature,Create Comparison Feature
subscription::admin.created_time,en,metafox/subscription,Created Time,Created Time
subscription::admin.create_new_package,en,metafox/subscription,Create New Package,Create New Package
subscription::admin.create_new_reason,en,metafox/subscription,Create New Reason,Create New Reason
subscription::admin.create_package,en,metafox/subscription,Create Package,Create Package
subscription::admin.create_reason,en,metafox/subscription,Create Reason,Create Reason
subscription::admin.custom_time,en,metafox/subscription,Custom Time,Custom Time
subscription::admin.date_to_must_be_greater_than_or_equal_to_date_from,en,metafox/subscription,Date To must be greater than or equal to date From,Date To must be greater than or equal to date From
subscription::admin.default_addon_expired_day_desc,en,metafox/subscription,,
subscription::admin.default_addon_expired_day_title,en,metafox/subscription,Extra Days For Subscriptions Before They Expire Completely,Extra Days For Subscriptions Before They Expire Completely
subscription::admin.default_downgraded_user_role,en,metafox/subscription,Default Downgraded User Role,Default Downgraded User Role
subscription::admin.default_package_for_cancelled_or_expired_subscriptions,en,metafox/subscription,Default Package For Canceled or Expired Subscription,Default Package For Canceled or Expired Subscription
subscription::admin.define_which_user_roles_can_view_and_purchase_this_package,en,metafox/subscription,Define which user roles can view and purchase this package.,Define which user roles can view and purchase this package.
subscription::admin.delete_cancel_reason_description,en,metafox/subscription,Please choose a reason to move.,Please choose a reason to move.
subscription::admin.delete_reason,en,metafox/subscription,Delete Reason,Delete Reason
subscription::admin.edit_comparison_feature,en,metafox/subscription,Edit Comparison Feature,Edit Comparison Feature
subscription::admin.edit_reason,en,metafox/subscription,Edit Reason,Edit Reason
subscription::admin.enable_in_app_purchase_desc,en,metafox/subscription,Turn on this to enable in-app purchases for subscription packages. NOTE: This setting is for mobile app ONLY.,Turn on this to enable in-app purchases for subscription packages. NOTE: This setting is for mobile app ONLY.
subscription::admin.enable_in_app_purchase_label,en,metafox/subscription,Enable In-app Purchases,Enable In-app Purchases
subscription::admin.enable_subscription_packages,en,metafox/subscription,Enable Subscription Packages,Enable Subscription Packages
subscription::admin.enable_this_if_you_want_this_subscription_to_be_recurring_package,en,metafox/subscription,Enable this if you want this Subscription to be a Recurring Package.,Enable this if you want this Subscription to be a Recurring Package.
subscription::admin.expiration_date,en,metafox/subscription,Expiration Date,Expiration Date
subscription::admin.expired,en,metafox/subscription,Expired Users,Expired Users
subscription::admin.feature_name,en,metafox/subscription,Feature Name,Feature Name
subscription::admin.fill_in_a_title_for_the_package,en,metafox/subscription,Fill in a title for the package,Fill in a title for the package
subscription::admin.free_package,en,metafox/subscription,Free Package,Free Package
subscription::admin.free_package_description,en,metafox/subscription,"Check the ""Free package"" if you want this to be free. If you want a free package for the first period, select ""Free package"" and ""Recurring package"" simultaneously.","Check the ""Free package"" if you want this to be free. If you want a free package for the first period, select ""Free package"" and ""Recurring package"" simultaneously."
subscription::admin.from,en,metafox/subscription,From,From
subscription::admin.inactive,en,metafox/subscription,Inactive,Inactive
subscription::admin.invoice_id,en,metafox/subscription,Invoice ID,Invoice ID
subscription::admin.in_which_package_is_this_feature_supported,en,metafox/subscription,This feature supports for which packages,This feature supports for which packages
subscription::admin.is_subscription_required_on_registration,en,metafox/subscription,Is a Subscription required in Registration?,Is a Subscription required in Registration?
subscription::admin.it_is_used_for_the_comparison_page,en,metafox/subscription,It is used for the comparison page.,It is used for the comparison page.
subscription::admin.last_updated,en,metafox/subscription,Last Updated,Last Updated
subscription::admin.logo,en,metafox/subscription,Logo,Logo
subscription::admin.manage_comparisons,en,metafox/subscription,Manage Comparisons,Manage Comparisons
subscription::admin.manage_packages,en,metafox/subscription,Manage Packages,Manage Packages
subscription::admin.manage_reasons,en,metafox/subscription,Manage Reasons,Manage Reasons
subscription::admin.manage_subscriptions,en,metafox/subscription,Manage Subscriptions,Manage Subscriptions
subscription::admin.manual_renew,en,metafox/subscription,Manually Renew,Manually Renew
subscription::admin.mark_as_most_popular,en,metafox/subscription,Mark as Most Popular,Mark as Most Popular
subscription::admin.maximum_number_characters,en,metafox/subscription,Maximum :number characters.,Maximum :number characters.
subscription::admin.member_name,en,metafox/subscription,Member Name,Member Name
subscription::admin.month,en,metafox/subscription,Month,Month
subscription::admin.monthly,en,metafox/subscription,Monthly,Monthly
subscription::admin.most_popular,en,metafox/subscription,Most Popular,Most Popular
subscription::admin.move_all_cancelled_subscriptions_to_default_reason,en,metafox/subscription,Move all canceled subscriptions to default reason,Move all canceled subscriptions to default reason
subscription::admin.no_comparison_features_have_been_added,en,metafox/subscription,No comparison features have been added.,No comparison features have been added.
subscription::admin.no_packages_found,en,metafox/subscription,No packages are found.,No packages are found.
subscription::admin.no_packages_found_for_comparison_feature,en,metafox/subscription,No packages are found for comparison feature.,No packages are found for comparison feature.
subscription::admin.no_packages_have_been_added,en,metafox/subscription,No packages have been added.,No packages have been added.
subscription::admin.no_packages_have_been_added_for_comparing_features,en,metafox/subscription,No packages have been added for comparing features.,No packages have been added for comparing features.
subscription::admin.no_purchase_orders,en,metafox/subscription,No purchase orders.,No purchase orders.
subscription::admin.number_of_days_before_the_expiration_day,en,metafox/subscription,Specify number of days before the expiration day to remind the user about renewal.,Specify number of days before the expiration day to remind the user about renewal.
subscription::admin.number_of_days_to_notify_user,en,metafox/subscription,The Number of Days To Notify User,The Number of Days To Notify User
subscription::admin.number_of_subscriptions,en,metafox/subscription,The Number of Subscriptions,The Number of Subscriptions
subscription::admin.one_time,en,metafox/subscription,One Time,One Time
subscription::admin.order_id,en,metafox/subscription,Order ID,Order ID
subscription::admin.order_id_must_be_numeric,en,metafox/subscription,Order ID must be numeric,Order ID must be numeric
subscription::admin.other_packages_when_users_want_to_upgrade_from_this_package,en,metafox/subscription,Packages that this package can be upgraded to,Packages that this package can be upgraded to
subscription::admin.package_status,en,metafox/subscription,Package Status,Package Status
subscription::admin.package_successfully_created,en,metafox/subscription,Package was created successfully.,Package was created successfully.
subscription::admin.package_successfully_deleted,en,metafox/subscription,The package was deleted successfully.,The package was deleted successfully.
subscription::admin.package_successfully_updated,en,metafox/subscription,The package was updated successfully.,The package was updated successfully.
subscription::admin.package_title,en,metafox/subscription,Package Title,Package Title
subscription::admin.package_type,en,metafox/subscription,Package Type,Package Type
subscription::admin.payment_status,en,metafox/subscription,Payment Status,Payment Status
subscription::admin.price,en,metafox/subscription,Price,Price
subscription::admin.quarter,en,metafox/subscription,Quarter,Quarter
subscription::admin.quarterly,en,metafox/subscription,Quarterly,Quarterly
subscription::admin.reason,en,metafox/subscription,Reason,Reason
subscription::admin.reasons_successfully_ordered,en,metafox/subscription,Reasons have been ordered successfully.,Reasons have been ordered successfully.
subscription::admin.reason_successfully_created,en,metafox/subscription,Reason was created successfully.,Reason was created successfully.
subscription::admin.reason_successfully_deleted,en,metafox/subscription,Reason was deleted successfully.,Reason was deleted successfully.
subscription::admin.reason_successfully_updated,en,metafox/subscription,Reason was updated successfully.,Reason was updated successfully.
subscription::admin.recurring,en,metafox/subscription,Recurring,Recurring
subscription::admin.recurring_package,en,metafox/subscription,Recurring Package,Recurring Package
subscription::admin.recurring_period,en,metafox/subscription,Recurring Period,Recurring Period
subscription::admin.recurring_price,en,metafox/subscription,Recurring Price,Recurring Price
subscription::admin.search_packages,en,metafox/subscription,Search Packages,Search Packages
subscription::admin.select_an_action_to_all_cancelled_subscriptions_of_this_reason,en,metafox/subscription,Select an action to all canceled subscriptions for this reason,Select an action to all canceled subscriptions for this reason
subscription::admin.select_another_reason_for_all_cancelled_subscriptions_belonging_to_this,en,metafox/subscription,Select another reason for all canceled subscriptions belonging to this,Select another reason for all canceled subscriptions belonging to this
subscription::admin.statistics_by_cancel_date,en,metafox/subscription,Statistics by Cancel Date,Statistics by Cancel Date
subscription::admin.statistics_by_time_period,en,metafox/subscription,Statistics By Period Time,Statistics By Period Time
subscription::admin.status,en,metafox/subscription,Status,Status
subscription::admin.subscription_invoice_detail,en,metafox/subscription,,
subscription::admin.subscription_required_on_registration_description,en,metafox/subscription,Enable to require members to select a subscription package when they register. Note: You must add the Guest User role to the 'Available For User Roles' within the Package for visibility.,Enable to require members to select a subscription package when they register. Note: You must add the Guest User role to the 'Available For User Roles' within the Package for visibility.
subscription::admin.subscription_status,en,metafox/subscription,Subscription Status,Subscription Status
subscription::admin.subscription_successfully_activated,en,metafox/subscription,Subscription was avtivated successfully.,Subscription was avtivated successfully.
subscription::admin.subscription_successfully_cancelled,en,metafox/subscription,Subscription was canceled successfully.,Subscription was canceled successfully.
subscription::admin.text_field,en,metafox/subscription,Text Field,Text Field
subscription::admin.the_recurring_period_for_this_package,en,metafox/subscription,Specify the recurring period for this package.,Specify the recurring period for this package.
subscription::admin.to,en,metafox/subscription,To,To
subscription::admin.transactions,en,metafox/subscription,Transactions,Transactions
subscription::admin.un_mark_as_most_popular,en,metafox/subscription,Un-mark as Most Popular,Un-mark as Most Popular
subscription::admin.upgraded_role_id_description,en,metafox/subscription,"User roles who are selected with the same ""User Group on Registration "" will not be displayed outside of the registration form.","User roles who are selected with the same ""User Group on Registration "" will not be displayed outside of the registration form."
subscription::admin.user,en,metafox/subscription,User,User
subscription::admin.user_role_on_success,en,metafox/subscription,User Role On Success,User Role On Success
subscription::admin.value_must_be_numeric,en,metafox/subscription,The value must be numeric.,The value must be numeric.
subscription::admin.view_reason,en,metafox/subscription,View Reasons,View Reasons
subscription::admin.view_subscription,en,metafox/subscription,View subscriptions,View subscriptions
subscription::admin.view_transactions,en,metafox/subscription,View Transactions,View Transactions
subscription::admin.visible_for_user_roles,en,metafox/subscription,Available For User Roles,Available For User Roles
subscription::admin.visible_roles_must_be_existed,en,metafox/subscription,You must specify User Roles the package is available for,You must specify User Roles the package is available for
subscription::admin.you_can_not_choose_current_package_for_downgraded_package,en,metafox/subscription,You cannot choose the current package for the Downgraded Packages.,You cannot choose the current package for the Downgraded Packages.
subscription::admin.you_can_not_choose_current_package_for_upgraded_packages,en,metafox/subscription,You cannot choose the current package for the Upgraded Packages.,You cannot choose the current package for the Upgraded Packages.
subscription::admin.you_must_choose_at_least_one_renew_type,en,metafox/subscription,You must choose at least one renewal type.,You must choose at least one renewal type.
subscription::admin.you_must_choose_date_for_from,en,metafox/subscription,You must choose a date for From,You must choose a date for From
subscription::admin.you_must_choose_date_for_to,en,metafox/subscription,You must choose a date for To,You must choose a date for To
subscription::admin.you_must_choose_one_option,en,metafox/subscription,You must choose one option.,You must choose one option.
subscription::permission.can_create_subscription_cancel_reason_desc,en,metafox/subscription,,
subscription::permission.can_create_subscription_cancel_reason_label,en,metafox/subscription,Can add cancellation reasons?,Can add cancellation reasons?
subscription::permission.can_create_subscription_comparison_desc,en,metafox/subscription,,
subscription::permission.can_create_subscription_comparison_label,en,metafox/subscription,Can add subscription comparisons?,Can add subscription comparisons?
subscription::permission.can_create_subscription_package_desc,en,metafox/subscription,,
subscription::permission.can_create_subscription_package_label,en,metafox/subscription,Can create a package?,Can create a package?
subscription::permission.can_delete_subscription_cancel_reason_desc,en,metafox/subscription,,
subscription::permission.can_delete_subscription_cancel_reason_label,en,metafox/subscription,Can delete cancellation reasons?,Can delete cancellation reasons?
subscription::permission.can_delete_subscription_comparison_desc,en,metafox/subscription,,
subscription::permission.can_delete_subscription_comparison_label,en,metafox/subscription,Can delete subscription comparisons?,Can delete subscription comparisons?
subscription::permission.can_delete_subscription_package_desc,en,metafox/subscription,,
subscription::permission.can_delete_subscription_package_label,en,metafox/subscription,Can delete the package?,Can delete the package?
subscription::permission.can_moderate_subscription_invoice_desc,en,metafox/subscription,,
subscription::permission.can_moderate_subscription_invoice_label,en,metafox/subscription,Can moderate subscription invoices?,Can moderate subscription invoices?
subscription::permission.can_update_subscription_cancel_reason_desc,en,metafox/subscription,,
subscription::permission.can_update_subscription_cancel_reason_label,en,metafox/subscription,Can edit cancellation reasons?,Can edit cancellation reasons?
subscription::permission.can_update_subscription_comparison_desc,en,metafox/subscription,,
subscription::permission.can_update_subscription_comparison_label,en,metafox/subscription,Can edit subscription comparisons?,Can edit subscription comparisons?
subscription::permission.can_update_subscription_package_desc,en,metafox/subscription,,
subscription::permission.can_update_subscription_package_label,en,metafox/subscription,Can edit the package?,Can edit the package?
subscription::permission.can_view_subscription_package_desc,en,metafox/subscription,,
subscription::permission.can_view_subscription_package_label,en,metafox/subscription,Can view the packages?,Can view the packages?
subscription::phrase.amount,en,metafox/subscription,Amount,Amount
subscription::phrase.app_name,en,metafox/subscription,Subscription,Subscription
subscription::phrase.back,en,metafox/subscription,Back,Back
subscription::phrase.cancel_subscription,en,metafox/subscription,Cancel Subscription,Cancel Subscription
subscription::phrase.can_not_change_invoice,en,metafox/subscription,Cannot update the invoice.,Cannot update the invoice.
subscription::phrase.can_not_upgrade_this_invoice,en,metafox/subscription,Cannot upgrade this invoice.,Cannot upgrade this invoice.
subscription::phrase.change_invoice,en,metafox/subscription,Change Invoice,Change Invoice
subscription::phrase.change_invoice_description,en,metafox/subscription,The package price has been changed. Do you want to continue paying?,The package price has been changed. Do you want to continue paying?
subscription::phrase.close,en,metafox/subscription,Close,Close
subscription::phrase.delete_package,en,metafox/subscription,Delete Package,Delete Package
subscription::phrase.entity_type_subscription_cancel_reason,en,metafox/subscription,subscription cancel reason,subscription cancel reason
subscription::phrase.entity_type_subscription_comparison,en,metafox/subscription,subscription comparison,subscription comparison
subscription::phrase.entity_type_subscription_invoice,en,metafox/subscription,subscription invoice,subscription invoice
subscription::phrase.entity_type_subscription_invoice_transaction,en,metafox/subscription,invoice transaction,invoice transaction
subscription::phrase.entity_type_subscription_package,en,metafox/subscription,subscription package,subscription package
subscription::phrase.expired_notification,en,metafox/subscription,Expired Notification,Expired Notification
subscription::phrase.expired_transaction,en,metafox/subscription,Expired Transaction,Expired Transaction
subscription::phrase.free,en,metafox/subscription,Free,Free
subscription::phrase.free_with_first_period,en,metafox/subscription,<b>(Free with first :period)</b>,<b>(Free with first :period)</b>
subscription::phrase.id,en,metafox/subscription,ID,ID
subscription::phrase.invalid_package,en,metafox/subscription,Invalid package.,Invalid package.
subscription::phrase.invoice_transaction,en,metafox/subscription,Invoice Transaction,Invoice Transaction
subscription::phrase.keep_subscription,en,metafox/subscription,Keep Subscription,Keep Subscription
subscription::phrase.membership,en,metafox/subscription,Membership,Membership
subscription::phrase.never_expires,en,metafox/subscription,Never Expires,Never Expires
subscription::phrase.next,en,metafox/subscription,Next,Next
subscription::phrase.no_longer_available,en,metafox/subscription,No longer available,No longer available
subscription::phrase.one_time,en,metafox/subscription,One Time,One Time
subscription::phrase.paid,en,metafox/subscription,Paid,Paid
subscription::phrase.payment_method,en,metafox/subscription,Payment Method,Payment Method
subscription::phrase.payment_status.active,en,metafox/subscription,Active,Active
subscription::phrase.payment_status.cancelled,en,metafox/subscription,Canceled,Canceled
subscription::phrase.payment_status.expired,en,metafox/subscription,Expired,Expired
subscription::phrase.payment_status_label,en,metafox/subscription,Payment Status,Payment Status
subscription::phrase.payment_status.pending_action,en,metafox/subscription,Pending Action,Pending Action
subscription::phrase.payment_status.pending_payment,en,metafox/subscription,Pending Payment,Pending Payment
subscription::phrase.pay_now,en,metafox/subscription,Pay Now,Pay Now
subscription::phrase.pending_transaction,en,metafox/subscription,Pending Transaction,Pending Transaction
subscription::phrase.purchase,en,metafox/subscription,Purchase,Purchase
subscription::phrase.recurring_price,en,metafox/subscription,Recurring <b>:price</b>,Recurring <b>:price</b>
subscription::phrase.recurring_price_info,en,metafox/subscription,Recurring <b>:price</b> :period,Recurring <b>:price</b> :period
subscription::phrase.recurring_price_info_with_free,en,metafox/subscription,Recurring <b>:price</b> :period <b>(Free with first :period)</b>,Recurring <b>:price</b> :period <b>(Free with first :period)</b>
subscription::phrase.renew,en,metafox/subscription,Renew,Renew
subscription::phrase.renew_progress_has_been_failed,en,metafox/subscription,Renewal has been failed.,Renewal has been failed.
subscription::phrase.renew_subscription,en,metafox/subscription,Renew Subscription,Renew Subscription
subscription::phrase.select_renew_type,en,metafox/subscription,Select Renew Type,Select Renew Type
subscription::phrase.select_type_for_renewing_your_subscription,en,metafox/subscription,Select the type for renewing your subscription.,Select the type for renewing your subscription.
subscription::phrase.setting,en,metafox/subscription,,
subscription::phrase.sidebar_menu.my_subscriptions,en,metafox/subscription,My Subscriptions,My Subscriptions
subscription::phrase.sidebar_menu.packages,en,metafox/subscription,Packages,Packages
subscription::phrase.subscription,en,metafox/subscription,Subscription,Subscription
subscription::phrase.subscription_admin_menu_manage_comparisons,en,metafox/subscription,Manage Comparisons,Manage Comparisons
subscription::phrase.subscription_admin_menu_manage_packages,en,metafox/subscription,Manage Packages,Manage Packages
subscription::phrase.subscription_admin_menu_manage_reasons,en,metafox/subscription,Manage Reasons,Manage Reasons
subscription::phrase.subscription_admin_menu_manage_subscriptions,en,metafox/subscription,Manage Subscriptions,Manage Subscriptions
subscription::phrase.subscription_for_package_title,en,metafox/subscription,Subscription for package :title,Subscription for package :title
subscription::phrase.subscription_manual_cancellation,en,metafox/subscription,Subscription Manual Cancellation,Subscription Manual Cancellation
subscription::phrase.subscription_notification_type,en,metafox/subscription,Subscription Notifications,Subscription Notifications
subscription::phrase.subscription-package_page_edit,en,metafox/subscription,,
subscription::phrase.subscription_phrase_sidebar_menu_my_subscriptions,en,metafox/subscription,Subscriptions,Subscriptions
subscription::phrase.subscription_phrase_sidebar_menu_packages,en,metafox/subscription,Available Packages,Available Packages
subscription::phrase.subscriptions,en,metafox/subscription,Subscriptions,Subscriptions
subscription::phrase.subscription_successfully_cancelled,en,metafox/subscription,Subscription was canceled successfully.,Subscription was canceled successfully.
subscription::phrase.subscription_system_cancellation,en,metafox/subscription,System Subscription Cancellation,System Subscription Cancellation
subscription::phrase.the_package_title_is_no_longer_available,en,metafox/subscription,The package <b>:title</b> is no longer available,The package <b>:title</b> is no longer available
subscription::phrase.the_package_title_is_no_longer_available_subject,en,metafox/subscription,The package :title is no longer available,The package :title is no longer available
subscription::phrase.transaction_date,en,metafox/subscription,Transaction Date,Transaction Date
subscription::phrase.unpaid,en,metafox/subscription,Unpaid,Unpaid
subscription::phrase.upgrade,en,metafox/subscription,Upgrade,Upgrade
subscription::phrase.view_packages,en,metafox/subscription,View Packages,View Packages
subscription::phrase.warning_subscriptions_available_to_display,en,metafox/subscription,"There are no subscriptions available to display. Please review the ""Allow on Registration"" setting in the package details","There are no subscriptions available to display. Please review the ""Allow on Registration"" setting in the package details"
subscription::phrase.we_are_sorry_you_are_thinking_of_cancelling_your_subscription_can_you_tell_us_why,en,metafox/subscription,We're sorry you're thinking of canceling your subscription. Can you tell us the reasons why?,We're sorry you're thinking of canceling your subscription. Can you tell us the reasons why?
subscription::phrase.you_must_choose_one_membership_and_pay_for,en,metafox/subscription,You must choose one membership and pay for it.,You must choose one membership and pay for it.
subscription::phrase.your_membership_has_successfully_been_upgraded,en,metafox/subscription,Your membership was upgraded successfully.,Your membership was upgraded successfully.
subscription::phrase.your_recurring_period_of_subscription_has_been_charged,en,metafox/subscription,Your recurring period of subscription has been charged.,Your recurring period of subscription has been charged.
subscription::phrase.your_subscription_has_been_activated,en,metafox/subscription,Your subscription has been activated.,Your subscription has been activated.
subscription::phrase.your_subscription_has_been_activated_by_an_admin,en,metafox/subscription,Your subscription has been activated by an Admin.,Your subscription has been activated by an Admin.
subscription::phrase.your_subscription_has_been_cancelled,en,metafox/subscription,Your subscription has been canceled.,Your subscription has been canceled.
subscription::phrase.your_subscription_has_been_cancelled_by_admin,en,metafox/subscription,Your subscription has been canceled by Admin.,Your subscription has been canceled by Admin.
subscription::phrase.your_subscription_has_been_cancelled_from_gateway_the_subscription_will_be_continued_until_expiration,en,metafox/subscription,Your subscription has been canceled from <b>:gateway</b>. The subscription will be continued until expiration.,Your subscription has been canceled from <b>:gateway</b>. The subscription will be continued until expiration.
subscription::phrase.your_subscription_has_been_cancelled_from_payment_gateway,en,metafox/subscription,Your subscription has been canceled from the payment gateway.,Your subscription has been canceled from the payment gateway.
